PartijID,Datum,SeizoenID,SpelerID,TegenstanderID,AantalCaramboles,TeHalenGemiddelde,Caramboles,Beurten,HoogsteSet,Gemiddelde,PlusMin
21,"09/14/05 00:00:00",1,23,26,42,1.6799999,42,24,9,1.75,0.070000052
22,"09/14/05 00:00:00",1,26,23,147,5.8800001,51,24,14,2.125,-3.7550001
23,"09/14/05 00:00:00",1,8,26,30,1.2,23,25,5,0.92000002,-0.28000003
24,"09/14/05 00:00:00",1,26,8,147,5.8800001,75,25,14,3,-2.8800001
27,"09/14/05 00:00:00",1,3,14,54,2.1600001,36,21,7,1.7142857,-0.44571435
28,"09/14/05 00:00:00",1,14,3,19,0.75999999,19,21,8,0.90476191,0.14476192
29,"09/14/05 00:00:00",1,23,28,42,1.6799999,42,17,6,2.4705882,0.79058826
30,"09/14/05 00:00:00",1,28,23,35,1.4,19,17,5,1.1176471,-0.28235292
31,"09/21/05 00:00:00",1,10,26,28,1.12,24,23,6,1.0434783,-0.076521754
32,"09/21/05 00:00:00",1,26,10,147,5.8800001,147,23,33,6.3913045,0.51130438
33,"09/21/05 00:00:00",1,23,11,42,1.6799999,27,25,8,1.08,-0.50608695
34,"09/21/05 00:00:00",1,11,23,34,1.36,33,25,6,1.3200001,0.07478261
35,"09/21/05 00:00:00",1,5,14,14,0.56,15,24,3,0.625,0.064999998
36,"09/21/05 00:00:00",1,14,5,19,0.75999999,14,24,3,0.58333331,-0.17666668
37,"09/21/05 00:00:00",1,5,23,14,0.56,10,23,3,0.43478259,-0.12521741
38,"09/21/05 00:00:00",1,23,5,42,1.6799999,42,23,10,1.826087,0.14608705
39,"09/21/05 00:00:00",1,19,21,54,2.1600001,54,23,12,2.347826,0.18782592
40,"09/21/05 00:00:00",1,21,19,35,1.4,27,23,5,1.173913,-0.22608697
41,"09/21/05 00:00:00",1,21,11,35,1.4,29,22,6,1.3181819,-0.081818104
42,"09/21/05 00:00:00",1,11,21,34,1.36,34,22,7,1.5454545,0.18545449
43,"09/21/05 00:00:00",1,19,18,54,2.1600001,39,13,11,3,0.83999991
44,"09/21/05 00:00:00",1,18,19,19,0.75999999,19,13,4,1.4615384,0.70153844
47,"09/28/05 00:00:00",1,23,11,42,1.6799999,39,25,6,1.5599999,-0.12
48,"09/28/05 00:00:00",1,11,23,34,1.36,33,25,7,1.3200001,-0.039999962
49,"09/28/05 00:00:00",1,23,11,42,1.6799999,42,22,10,1.9090909,0.22909093
50,"09/28/05 00:00:00",1,11,23,34,1.36,32,22,11,1.4545455,0.094545484
51,"09/28/05 00:00:00",1,3,10,54,2.1600001,28,13,8,2.1538463,-0.0061538219
52,"09/28/05 00:00:00",1,10,3,28,1.12,28,13,8,2.1538463,1.0338463
53,"09/28/05 00:00:00",1,8,11,30,1.2,24,25,5,0.95999998,-0.24000007
54,"09/28/05 00:00:00",1,11,8,34,1.36,18,25,6,0.72000003,-0.63999999
55,"09/28/05 00:00:00",1,23,26,42,1.6799999,42,14,8,3,1.3200001
56,"09/28/05 00:00:00",1,26,23,147,5.8800001,87,14,21,6.2142859,0.33428574
57,"09/28/05 00:00:00",1,8,21,30,1.2,25,22,4,1.1363636,-0.063636422
58,"09/28/05 00:00:00",1,21,8,35,1.4,35,22,6,1.5909091,0.19090915
59,"09/28/05 00:00:00",1,21,8,35,1.4,35,21,5,1.6666666,0.26666665
60,"09/28/05 00:00:00",1,8,21,30,1.2,15,21,6,0.71428573,-0.48571432
61,"09/28/05 00:00:00",1,21,26,35,1.4,25,25,5,1,-0.39999998
62,"09/28/05 00:00:00",1,26,21,147,5.8800001,91,25,14,3.6400001,-2.24
63,"10/05/05 00:00:00",1,23,21,42,1.6799999,37,25,5,1.48,-0.19999993
64,"10/05/05 00:00:00",1,21,23,35,1.4,25,25,9,1,-0.39999998
65,"10/05/05 00:00:00",1,6,5,26,1.04,26,15,4,1.7333333,0.69333339
66,"10/05/05 00:00:00",1,5,6,14,0.56,8,15,3,0.53333336,-0.026666641
67,"10/05/05 00:00:00",1,11,14,34,1.36,18,16,4,1.125,-0.23500001
68,"10/05/05 00:00:00",1,14,11,19,0.75999999,19,16,4,1.1875,0.42750001
69,"10/05/05 00:00:00",1,5,21,14,0.56,15,12,2,1.25,0.69
70,"10/05/05 00:00:00",1,21,5,35,1.4,17,12,3,1.4166666,0.016666651
71,"10/05/05 00:00:00",1,13,11,23,0.92000002,23,15,5,1.5333333,0.61333328
72,"10/05/05 00:00:00",1,11,13,34,1.36,15,15,4,1,-0.36000001
73,"10/05/05 00:00:00",1,23,14,42,1.6799999,34,18,6,1.8888888,0.20888889
74,"10/05/05 00:00:00",1,14,23,19,0.75999999,19,18,4,1.0555556,0.29555559
75,"10/13/05 00:00:00",1,6,23,26,1.04,26,21,4,1.2380953,0.19809532
76,"10/13/05 00:00:00",1,23,6,42,1.6799999,27,21,5,1.2857143,-0.39428568
77,"10/13/05 00:00:00",1,5,26,14,0.56,15,29,4,0.51724136,-0.042758644
78,"10/13/05 00:00:00",1,26,5,147,5.8800001,137,29,24,4.7241378,-1.1558623
79,"10/13/05 00:00:00",1,3,5,54,2.1600001,27,25,5,1.08,-1.08
80,"10/13/05 00:00:00",1,5,3,14,0.56,6,25,2,0.23999999,-0.31999999
81,"10/13/05 00:00:00",1,23,18,42,1.6799999,15,22,4,0.68181819,-0.99818176
82,"10/13/05 00:00:00",1,18,23,19,0.75999999,19,22,4,0.86363637,0.10363638
83,"10/13/05 00:00:00",1,10,26,28,1.12,28,20,8,1.4,0.27999997
84,"10/13/05 00:00:00",1,26,10,147,5.8800001,118,20,36,5.9000001,0.019999981
85,"10/21/05 00:00:00",1,5,10,14,0.56,3,20,1,0.15000001,-0.41
86,"10/21/05 00:00:00",1,10,5,28,1.12,28,20,9,1.4,0.27999997
87,"10/21/05 00:00:00",1,19,8,54,2.1600001,42,20,14,2.0999999,-0.060000181
88,"10/21/05 00:00:00",1,8,19,30,1.2,30,20,4,1.5,0.29999995
89,"10/21/05 00:00:00",1,18,24,19,0.75999999,19,23,4,0.82608694,0.066086948
90,"10/21/05 00:00:00",1,24,18,18,0.72000003,14,23,4,0.60869563,-0.1113044
91,"10/29/05 00:00:00",1,21,3,35,1.4,35,23,7,1.5217391,0.12173915
92,"10/29/05 00:00:00",1,3,21,54,2.1600001,45,23,8,1.9565217,-0.20347834
93,"10/29/05 00:00:00",1,13,24,23,0.92000002,23,25,5,0.92000002,0
94,"10/29/05 00:00:00",1,24,13,18,0.72000003,12,25,2,0.47999999,-0.24000004
95,"10/29/05 00:00:00",1,5,10,14,0.56,4,15,2,0.26666668,-0.29333332
96,"10/29/05 00:00:00",1,10,5,28,1.12,28,15,9,1.8666667,0.74666667
97,"10/29/05 00:00:00",1,24,21,18,0.72000003,17,21,3,0.80952382,0.089523792
98,"10/29/05 00:00:00",1,21,24,35,1.4,35,21,5,1.6666666,0.26666665
99,"10/29/05 00:00:00",1,5,14,14,0.56,11,20,3,0.55000001,-0.0099999905
100,"10/29/05 00:00:00",1,14,5,19,0.75999999,19,20,3,0.94999999,0.19
101,"10/29/05 00:00:00",1,23,3,42,1.6799999,27,21,4,1.2857143,-0.39428568
102,"10/29/05 00:00:00",1,3,23,54,2.1600001,54,21,15,2.5714285,0.41142845
103,"10/29/05 00:00:00",1,10,13,28,1.12,28,20,4,1.4,0.27999997
104,"10/29/05 00:00:00",1,13,10,23,0.92000002,14,20,3,0.69999999,-0.22000003
105,"10/29/05 00:00:00",1,23,13,42,1.6799999,26,25,9,1.04,-0.63999999
106,"10/29/05 00:00:00",1,13,23,23,0.92000002,19,25,3,0.75999999,-0.16000003
107,"11/04/05 00:00:00",1,14,26,19,0.75999999,19,22,4,0.86363637,0.10363638
108,"11/04/05 00:00:00",1,26,14,147,5.8800001,100,22,28,4.5454545,-1.3345456
109,"11/04/05 00:00:00",1,23,21,42,1.6799999,18,15,9,1.2,-0.4799999
110,"11/04/05 00:00:00",1,21,23,35,1.4,35,15,10,2.3333333,0.93333328
111,"11/04/05 00:00:00",1,8,14,30,1.2,30,24,7,1.25,0.049999952
112,"11/04/05 00:00:00",1,14,8,19,0.75999999,15,24,6,0.625,-0.13499999
113,"11/04/05 00:00:00",1,21,26,35,1.4,20,25,3,0.80000001,-0.59999996
114,"11/04/05 00:00:00",1,26,21,147,5.8800001,91,25,19,3.6400001,-2.24
115,"11/04/05 00:00:00",1,23,3,42,1.6799999,39,25,7,1.5599999,-0.12
116,"11/04/05 00:00:00",1,3,23,54,2.1600001,40,25,8,1.6,-0.56000006
117,"11/04/05 00:00:00",1,10,4,28,1.12,28,23,4,1.2173913,0.097391248
118,"11/04/05 00:00:00",1,4,10,33,1.3200001,23,23,4,1,-0.32000005
119,"11/15/05 00:00:00",1,18,26,19,0.75999999,19,19,4,1,0.24000001
120,"11/15/05 00:00:00",1,26,18,147,5.8800001,79,19,28,4.1578946,-1.7221055
121,"11/15/05 00:00:00",1,23,21,42,1.6799999,28,20,4,1.4,-0.71448272
122,"11/15/05 00:00:00",1,21,23,35,1.4,35,20,8,1.75,-0.19310343
123,"11/15/05 00:00:00",1,23,14,42,1.6799999,31,25,4,1.24,-0.43999994
124,"11/15/05 00:00:00",1,14,23,19,0.75999999,11,25,3,0.44,-0.31999999
125,"11/15/05 00:00:00",1,8,21,30,1.2,30,19,9,1.5789474,0.37894738
126,"11/15/05 00:00:00",1,21,8,35,1.4,29,19,5,1.5263158,0.12631583
127,"11/15/05 00:00:00",1,3,14,54,2.1600001,54,24,10,2.25,0.089999914
128,"11/15/05 00:00:00",1,14,3,19,0.75999999,12,24,3,0.5,-0.25999999
129,"11/15/05 00:00:00",1,5,8,14,0.56,15,23,2,0.65217394,0.092173934
130,"11/15/05 00:00:00",1,8,5,30,1.2,28,23,6,1.2173913,0.017391205
131,"11/17/05 00:00:00",1,19,4,54,2.1600001,23,22,9,1.0454545,-1.1145456
132,"11/17/05 00:00:00",1,4,19,33,1.3200001,33,22,10,1.5,0.17999995
133,"11/17/05 00:00:00",1,21,10,35,1.4,35,25,8,1.4,0
134,"11/17/05 00:00:00",1,10,21,28,1.12,25,25,5,1,-0.12
135,"11/17/05 00:00:00",1,3,23,54,2.1600001,33,20,8,1.65,-0.51000011
136,"11/17/05 00:00:00",1,23,3,42,1.6799999,42,20,8,2.0999999,0.41999996
137,"11/17/05 00:00:00",1,6,10,26,1.04,26,17,9,1.5294118,0.48941183
138,"11/17/05 00:00:00",1,10,6,28,1.12,21,17,5,1.2352941,0.1152941
139,"11/17/05 00:00:00",1,5,11,14,0.56,13,22,3,0.59090906,0.030909061
140,"11/17/05 00:00:00",1,11,5,34,1.36,34,22,5,1.5454545,0.18545449
141,"11/17/05 00:00:00",1,19,23,54,2.1600001,41,21,11,1.9523809,-0.20761919
142,"11/17/05 00:00:00",1,23,19,42,1.6799999,42,21,9,2,0.32000005
143,"11/17/05 00:00:00",1,6,23,26,1.04,26,14,8,1.8571428,0.81714284
144,"11/17/05 00:00:00",1,23,6,42,1.6799999,25,14,4,1.7857143,0.10571432
145,"11/17/05 00:00:00",1,3,5,54,2.1600001,54,22,17,2.4545455,0.29454541
146,"11/17/05 00:00:00",1,5,3,14,0.56,8,22,2,0.36363637,-0.19636363
147,"11/24/05 00:00:00",1,3,11,54,2.1600001,46,25,9,1.84,-0.32000005
148,"11/24/05 00:00:00",1,11,3,34,1.36,34,25,6,1.36,0
149,"11/24/05 00:00:00",1,19,11,54,2.1600001,24,21,5,1.1428572,-1.0171429
150,"11/24/05 00:00:00",1,11,19,34,1.36,34,21,9,1.6190476,0.25904763
151,"11/24/05 00:00:00",1,14,10,19,0.75999999,9,12,6,0.75,-0.0099999905
152,"11/24/05 00:00:00",1,10,14,28,1.12,28,12,12,2.3333333,1.2133332
153,"11/24/05 00:00:00",1,13,3,23,0.92000002,23,24,4,0.95833331,0.038333297
154,"11/24/05 00:00:00",1,3,13,54,2.1600001,50,24,8,2.0833333,-0.076666832
155,"11/24/05 00:00:00",1,5,23,14,0.56,9,22,2,0.40909091,-0.1509091
156,"11/24/05 00:00:00",1,23,5,42,1.6799999,42,22,5,1.9090909,0.22909093
157,"11/24/05 00:00:00",1,19,21,54,2.1600001,17,14,6,1.2142857,-0.94571435
158,"11/24/05 00:00:00",1,21,19,35,1.4,35,14,9,2.5,1.1
159,"11/24/05 00:00:00",1,21,23,35,1.4,30,25,4,1.2,-0.19999993
160,"11/24/05 00:00:00",1,23,21,42,1.6799999,33,25,8,1.3200001,-0.3599999
161,"12/02/05 00:00:00",1,21,4,35,1.4,34,25,4,1.36,-0.039999962
162,"12/02/05 00:00:00",1,4,21,33,1.3200001,23,25,3,0.92000002,-0.40000004
163,"12/02/05 00:00:00",1,18,14,19,0.75999999,2,13,2,0.15384616,-0.60615385
164,"12/02/05 00:00:00",1,14,18,19,0.75999999,19,13,5,1.4615384,0.70153844
165,"12/02/05 00:00:00",1,8,19,30,1.2,18,25,4,0.72000003,-0.48000002
166,"12/02/05 00:00:00",1,19,8,54,2.1600001,44,25,9,1.76,-0.4000001
167,"12/02/05 00:00:00",1,14,21,19,0.75999999,14,14,5,1,0.24000001
168,"12/02/05 00:00:00",1,21,14,35,1.4,35,14,9,2.5,1.1
169,"12/02/05 00:00:00",1,8,19,30,1.2,13,16,5,0.8125,-0.38750005
170,"12/02/05 00:00:00",1,19,8,54,2.1600001,54,16,25,3.375,1.2149999
171,"12/15/05 00:00:00",1,3,11,54,2.1600001,44,25,9,1.76,-0.4000001
172,"12/15/05 00:00:00",1,11,3,34,1.36,6,25,2,0.23999999,-1.12
173,"12/15/05 00:00:00",1,8,26,30,1.2,30,19,5,1.5789474,0.37894738
174,"12/15/05 00:00:00",1,26,8,147,5.8800001,68,19,26,3.5789473,-2.3010528
175,"12/15/05 00:00:00",1,21,19,35,1.4,30,25,4,1.2,-0.19999993
176,"12/15/05 00:00:00",1,19,21,54,2.1600001,31,25,6,1.24,-0.92000008
177,"12/15/05 00:00:00",1,21,11,35,1.4,23,22,4,1.0454545,-0.35454547
178,"12/15/05 00:00:00",1,11,21,34,1.36,34,22,5,1.5454545,0.18545449
179,"12/15/05 00:00:00",1,14,21,19,0.75999999,19,12,5,1.5833334,0.82333338
180,"12/15/05 00:00:00",1,21,14,35,1.4,15,12,3,1.25,-0.14999998
181,"12/15/05 00:00:00",1,19,4,54,2.1600001,30,25,5,1.2,-0.96000004
182,"12/15/05 00:00:00",1,4,19,33,1.3200001,27,25,4,1.08,-0.24000001
183,"12/23/05 00:00:00",1,21,8,35,1.4,35,15,16,2.3333333,0.93333328
184,"12/23/05 00:00:00",1,8,21,30,1.2,18,15,3,1.2,0
185,"12/23/05 00:00:00",1,18,14,19,0.75999999,19,17,4,1.1176471,0.35764706
186,"12/23/05 00:00:00",1,14,18,19,0.75999999,16,17,6,0.94117647,0.18117648
187,"12/23/05 00:00:00",1,6,16,26,1.04,26,17,9,1.5294118,0.48941183
188,"12/23/05 00:00:00",1,16,6,102,4.0799999,20,17,8,1.1764706,-2.9035292
189,"12/23/05 00:00:00",1,3,8,54,2.1600001,54,20,8,2.7,0.53999996
190,"12/23/05 00:00:00",1,8,3,30,1.2,20,20,5,1,-0.20000005
191,"12/23/05 00:00:00",1,14,21,19,0.75999999,10,15,4,0.66666669,-0.093333304
192,"12/23/05 00:00:00",1,21,14,35,1.4,35,15,6,2.3333333,0.93333328
193,"12/23/05 00:00:00",1,3,14,54,2.1600001,25,18,6,1.3888888,-0.77111125
194,"12/23/05 00:00:00",1,14,3,19,0.75999999,19,18,4,1.0555556,0.29555559
195,"01/12/06 00:00:00",1,14,25,19,0.75999999,19,24,6,0.79166669,0.031666696
196,"01/12/06 00:00:00",1,25,14,41,1.64,33,24,4,1.375,-0.26499999
197,"01/12/06 00:00:00",1,25,26,41,1.64,41,22,5,1.8636364,0.22363639
198,"01/12/06 00:00:00",1,26,25,147,5.8800001,105,22,22,4.7727275,-1.1072726
199,"01/12/06 00:00:00",1,14,10,19,0.75999999,19,20,4,0.94999999,0.19
200,"01/12/06 00:00:00",1,10,14,28,1.12,22,20,5,1.1,-0.019999981
201,"01/12/06 00:00:00",1,5,10,14,0.56,6,24,2,0.25,-0.31
202,"01/12/06 00:00:00",1,10,5,28,1.12,28,24,8,1.1666666,0.046666622
203,"01/12/06 00:00:00",1,3,26,54,2.1600001,50,25,8,2,-0.16000009
204,"01/12/06 00:00:00",1,26,3,147,5.8800001,119,25,30,4.7600002,-1.1199999
205,"01/12/06 00:00:00",1,21,22,35,1.4,11,10,7,1.1,-0.29999995
206,"01/12/06 00:00:00",1,22,21,17,0.68000001,17,10,4,1.7,1.02
207,"01/12/06 00:00:00",1,22,10,17,0.68000001,17,16,5,1.0625,0.38249999
208,"01/12/06 00:00:00",1,10,22,28,1.12,21,16,5,1.3125,0.1925
